Date,Close,High,Low,Open,Volume,Stock,Adj Close
2020-03-11,589.4573364257812,598.0070560948201,574.8927459768876,593.4529501363179,16165009.0,INFY,
2020-03-12,542.3695678710938,575.7091309346221,539.1902681514557,573.9905962154143,13965574.0,INFY,
2020-03-13,551.9503173828125,573.1312768534269,489.7823505344128,508.6862307304778,16903113.0,INFY,
2020-03-16,501.0817565917969,534.5931819350706,498.3750435666342,534.4642708593905,19140152.0,INFY,
2020-03-17,476.8504333496094,508.68627864387685,472.59704941576393,505.3351149516307,16059887.0,INFY,
2020-03-18,459.1065368652344,496.65653073330947,453.69316302281555,488.0638571912107,15390183.0,INFY,
2020-03-19,468.7733459472656,479.4712361680773,437.5819480619953,437.5819480619953,16583991.0,INFY,
2020-03-20,502.8432922363281,530.5546658459454,470.8785345138052,472.167435611927,21354894.0,INFY,
2020-03-23,452.361328125,482.0060530911666,443.29606764618916,464.0043907747818,17146150.0,INFY,
2020-03-24,506.7958068847656,516.5485215110975,448.5374985913173,448.5374985913173,20027097.0,INFY,
2020-03-25,520.8878784179688,545.6347676259147,486.0875507189931,512.982608303419,18339548.0,INFY,
2020-03-26,552.5088500976562,559.2540771338631,525.9574706932967,528.4493667341502,14843813.0,INFY,
2020-03-27,560.8438110351562,579.9195567351105,551.8644567193235,571.455741852175,13495283.0,INFY,
2020-03-30,538.5028076171875,570.1238326064855,533.6908794466455,537.1279485203846,14624804.0,INFY,
2020-03-31,551.219970703125,568.8349502813231,544.5176962795475,558.5237427233535,15175521.0,INFY,
2020-04-01,517.9663696289062,547.7829584028392,510.4048271235866,545.0762451595822,13083824.0,INFY,
2020-04-03,503.27294921875,520.7160677312023,500.2225603011783,518.5678991349515,10221655.0,INFY,
2020-04-07,549.0717163085938,553.5828689073733,526.6448643671491,528.4493044284587,15145605.0,INFY,
2020-04-08,542.7132568359375,563.3786793044334,538.2021030858991,541.3384500046095,11806896.0,INFY,
2020-04-09,546.7088012695312,560.9296641179702,543.1428211160517,555.774060491067,11931114.0,INFY,
2020-04-13,547.6970825195312,559.9845963166536,537.944365692171,540.479215107455,8330276.0,INFY,
2020-04-15,549.11474609375,561.3593048627127,546.1502634816354,559.7267284941587,11963447.0,INFY,
2020-04-16,536.053955078125,545.5489019562737,518.5678841868994,532.7028436318851,17783287.0,INFY,
2020-04-17,540.264404296875,555.0867676751988,537.9014188307654,553.3682327907554,8878320.0,INFY,
2020-04-20,561.3593139648438,567.9756826328771,549.0718021216468,549.9310694176118,13322913.0,INFY,
2020-04-21,544.0880126953125,555.5162562007505,539.4479487418822,539.4479487418822,11660575.0,INFY,
2020-04-22,551.520751953125,554.2274652032556,539.6628724890429,544.0881205149975,8266728.0,INFY,
2020-04-23,583.7002563476562,587.4381005055866,548.2984337082895,555.9888863999373,14451289.0,INFY,
2020-04-24,565.3978271484375,580.0053697951296,562.6481615728995,574.46308577243,7319940.0,INFY,
2020-04-27,571.0690307617188,585.1610355625768,568.0186423136012,568.0186423136012,7183306.0,INFY,
2020-04-28,567.7179565429688,581.7240040539833,561.1445402456878,578.2869346061016,7296571.0,INFY,
2020-04-29,581.3372802734375,586.0202975390621,565.3978823763971,572.2720207639521,8639056.0,INFY,
2020-04-30,614.8056640625,618.6723663522013,599.8543942307859,601.4870228424179,16253821.0,INFY,
2020-05-04,578.8883666992188,602.5182164777228,576.0097898952575,592.7225486822473,9122740.0,INFY,
2020-05-05,578.8883666992188,589.1136156815189,575.7090673308268,585.8054576907331,6393053.0,INFY,
2020-05-06,572.1860961914062,585.5476917536108,570.596420274265,581.6380361633919,7934250.0,INFY,
2020-05-07,571.3698120117188,579.4468933112533,569.2216437226646,571.8853514228857,4779548.0,INFY,
2020-05-08,579.3179321289062,585.0750326135379,574.4200988077865,577.6423506709567,8400321.0,INFY,
2020-05-11,586.793701171875,600.2412038897027,582.5832701293116,586.4499732496389,7370186.0,INFY,
2020-05-12,590.8753051757812,593.7538302632469,580.4351842877327,583.0129867346063,7356039.0,INFY,
2020-05-13,596.4605102539062,601.401297999113,587.5241079626278,597.0190026186598,8287101.0,INFY,
2020-05-14,565.5267944335938,577.2128087345696,560.7578189625167,566.2571506603371,16888262.0,INFY,
2020-05-15,560.5000610351562,571.2409025100194,555.6881850326236,571.2409025100194,9255353.0,INFY,
2020-05-18,570.4675903320312,576.1816864987078,561.1015556379695,566.9875157564253,10435442.0,INFY,
2020-05-19,574.506103515625,579.8335713362592,562.8200890569237,570.5534948607593,5902208.0,INFY,
2020-05-20,575.3223876953125,578.2868702533211,566.815673225758,574.4201675547478,5794636.0,INFY,
2020-05-21,577.5995483398438,583.8292368989302,571.7565405942183,572.7017137422168,7213225.0,INFY,
2020-05-22,594.9137573242188,597.9211931934447,578.7165879781676,580.0054890649786,11867731.0,INFY,
2020-05-26,584.7743530273438,601.0145260450187,583.4424991957494,595.4722414472081,7099606.0,INFY,
2020-05-27,606.170166015625,609.3924185965654,580.0054645692849,589.5003583520194,8774636.0,INFY,
2020-05-28,607.845703125,610.0797771052081,592.8944312712586,607.5019752301157,9440091.0,INFY,
2020-05-29,601.8360595703125,610.3714952246648,587.8570994987178,603.1425054304507,28290128.0,INFY,
2020-06-01,609.2828369140625,615.4667130203887,602.2715875606066,608.5860763672796,12276438.0,INFY,
2020-06-02,616.7295532226562,619.8215177801701,607.5408941598197,610.1102484504172,7059304.0,INFY,
2020-06-03,611.0247192382812,620.0392275848711,606.1908801790817,618.9940602630236,11378568.0,INFY,
2020-06-04,616.4246826171875,617.9053318367771,607.4973028971929,611.4166403352393,10782424.0,INFY,
2020-06-05,612.7666015625,619.8649781519487,610.1972475918731,615.7714374549481,7718679.0,INFY,
2020-06-08,627.834228515625,632.1455099200784,613.1585098767985,616.337548982964,10719105.0,INFY,
2020-06-09,625.0036010742188,635.4551666651549,622.7826540180271,627.0939354561706,10078029.0,INFY,
2020-06-10,623.4794921875,626.6149941514957,617.6876140957919,622.7391941295748,7263049.0,INFY,
2020-06-11,613.1150512695312,621.3456707998107,609.8924741906567,620.1263000696146,8825715.0,INFY,
2020-06-12,602.75048828125,605.450507961928,588.3360479962732,588.5973265048777,9795316.0,INFY,
2020-06-15,598.8312377929688,613.5070118687655,596.828031391361,603.5780018303001,7857344.0,INFY,
2020-06-16,610.7199096679688,620.1263093463955,608.9344442687287,611.4166701701821,10131760.0,INFY,
2020-06-17,612.8538818359375,618.6457609369482,607.9329136351485,609.587766612253,7291916.0,INFY,
2020-06-18,621.7811889648438,624.1327491166638,614.900552454068,616.8166837876505,6670195.0,INFY,
2020-06-19,614.5084838867188,620.0391357812214,610.5456093225699,617.5133195573495,22438862.0,INFY,
2020-06-22,612.8972778320312,617.2520971243443,609.6747009238366,615.858523055155,7804096.0,INFY,
2020-06-23,627.66015625,631.0133460036435,602.7940943595893,605.9295962974941,12157390.0,INFY,
2020-06-24,621.9989013671875,633.0165629999383,617.8618227695662,624.3940521342314,10220838.0,INFY,
2020-06-25,610.110107421875,614.552001287093,604.0133611664102,613.8987784740075,14945284.0,INFY,
2020-06-26,651.6552734375,654.6165191327829,618.3844381074404,618.5586415387919,26030458.0,INFY,
2020-06-29,637.3277587890625,648.6067505980112,635.8906472594941,640.5067979135447,8954428.0,INFY,
2020-06-30,640.98583984375,643.5987313277307,630.7955524243425,638.2422825218049,10411290.0,INFY,
2020-07-01,637.4586181640625,646.5166125121046,635.5860241672192,642.118254631425,5477468.0,INFY,
2020-07-02,658.9713745117188,666.67943819777,640.5069793040757,642.2053166625539,17263756.0,INFY,
2020-07-03,664.2841796875,665.4164221299212,655.40033724184,657.5777470001185,7796572.0,INFY,
2020-07-06,665.4163818359375,674.9969841922141,663.238972209511,666.4615490885051,8810958.0,INFY,
2020-07-07,691.6759643554688,694.1146525092771,666.7663662916871,670.1196090176614,19362533.0,INFY,
2020-07-08,674.7357177734375,683.6195598405134,672.5583081079491,683.6195598405134,8476642.0,INFY,
2020-07-09,680.8324584960938,688.0614478863074,674.9969900150484,679.351809305468,6854166.0,INFY,
2020-07-10,680.963134765625,687.974437005429,673.6906071353015,673.6906071353015,5206452.0,INFY,
2020-07-13,694.2017822265625,701.4307721350777,684.6211791007323,686.3195693776497,10804688.0,INFY,
